rare_species	clusters_with	longtitude	lattitude
Issoria lathonia	Accipiter gentilis	5.68351114808	52.0644193116
Issoria lathonia	Accipiter gentilis	5.88298743591	52.2967642552
Issoria lathonia	Accipiter gentilis	5.91667569838	52.0001747666
Issoria lathonia	Accipiter nisus	5.68351114808	52.0644193116
Issoria lathonia	Accipiter nisus	5.88298743591	52.2967642552
Issoria lathonia	Accipiter nisus	5.91667569838	52.0001747666
Issoria lathonia	Aegithalos caudatus	5.68351114808	52.0644193116
Issoria lathonia	Aegithalos caudatus	5.88298743591	52.2967642552
Issoria lathonia	Aegithalos caudatus	5.91667569838	52.0001747666
Issoria lathonia	Aglais io	5.81861369993	52.0596193703
Issoria lathonia	Aglais urticae	5.68351114808	52.0644193116
Issoria lathonia	Alauda arvensis	5.81861369993	52.0596193703
Issoria lathonia	Anas crecca	5.68351114808	52.0644193116
Issoria lathonia	Anthus pratensis	5.68351114808	52.0644193116
Issoria lathonia	Anthus trivialis	5.68351114808	52.0644193116
Issoria lathonia	Anthus trivialis	5.88298743591	52.2967642552
Issoria lathonia	Anthus trivialis	5.91667569838	52.0001747666
Issoria lathonia	Aphantopus hyperantus	5.88298743591	52.2967642552
Issoria lathonia	Araschnia levana	5.81861369993	52.0596193703
Issoria lathonia	Argynnis aglaja	5.81861369993	52.0596193703
Issoria lathonia	Argynnis aglaja	5.91667569838	52.0001747666
Issoria lathonia	Aricia agestis	5.68351114808	52.0644193116
Issoria lathonia	Aricia agestis	5.81861369993	52.0596193703
Issoria lathonia	Aricia agestis	5.91667569838	52.0001747666
Issoria lathonia	Asio flammeus	5.68351114808	52.0644193116
Issoria lathonia	Asio flammeus	5.81861369993	52.0596193703
Issoria lathonia	Asio otus	5.68351114808	52.0644193116
Issoria lathonia	Asio otus	5.88298743591	52.2967642552
Issoria lathonia	Asio otus	5.91667569838	52.0001747666
Issoria lathonia	Buteo buteo	5.68351114808	52.0644193116
Issoria lathonia	Callophrys rubi	5.68351114808	52.0644193116
Issoria lathonia	Callophrys rubi	5.81861369993	52.0596193703
